check,pass,detail
cohorts partition purchasers,True,"109,732 == 109,732"
abandonment sub-types partition other_inconclusive,True,"1,422,387 == 1,422,387"
time-to-2nd buckets partition 2nd-purchasers,True,"24,731 == 24,731"
promo + organic partition the D60-eligible population,True,"9,263 + 62,464 == 71,727"
value_quintile buckets sum to eligible N at D30,True,"71,727 == 71,727"
depth_quintile buckets sum to eligible N at D30,True,"71,727 == 71,727"
category_bucket buckets sum to eligible N at D30,True,"71,727 == 71,727"
value_quintile buckets sum to eligible N at D60,True,"71,727 == 71,727"
depth_quintile buckets sum to eligible N at D60,True,"71,727 == 71,727"
category_bucket buckets sum to eligible N at D60,True,"71,727 == 71,727"
value_quintile buckets sum to eligible N at D90,True,"52,151 == 52,151"
depth_quintile buckets sum to eligible N at D90,True,"52,151 == 52,151"
category_bucket buckets sum to eligible N at D90,True,"52,151 == 52,151"
purchase retention <= activity retention at every bucket,True,"max gap 34.10pp, min gap 15.25pp"
order identity: n_orders - n_purchasers == excess orders,True,"158,399 - 109,732 = 48,667 (01 reported 48,667)"
excess orders match 01's committed figure,True,"48,667 vs 48,667"
D90 retained users <= users with any later order (unbounded),True,"14,131 <= 23,187"
base frame covers exactly the purchaser population,True,"109,732 == 109,732"
